nodes,requests,total_requests,successful_lookups,total_time_ms,avg_hops,theoretical_hops
5,1,5,5,1,3.0,2.0
5,5,25,25,1,3.0,2.0
5,10,50,50,2,3.0,2.0
5,20,100,100,2,3.0,2.0
5,50,250,250,3,3.0,2.0
5,100,500,500,5,3.0,2.0
5,1000,5000,5000,39,3.0,2.0
10,1,10,10,1,4.0,3.0
10,5,50,50,2,4.0,3.0
10,10,100,100,3,4.0,3.0
10,20,200,200,4,4.0,3.0
10,50,500,500,7,4.0,3.0
10,100,1000,1000,12,4.0,3.0
10,1000,10000,10000,108,4.0,3.0
20,1,20,20,2,5.0,4.0
20,5,100,100,2,5.0,4.0
20,10,200,200,4,5.0,4.0
20,20,400,400,10,5.0,4.0
20,50,1000,1000,16,5.0,4.0
20,100,2000,2000,27,5.0,4.0
20,1000,20000,20000,260,5.0,4.0
50,1,50,50,3,6.0,5.0
50,5,250,250,7,6.0,5.0
50,10,500,500,16,6.0,5.0
50,20,1000,1000,30,6.0,5.0
50,50,2500,2500,80,6.0,5.0
50,100,5000,5000,133,6.0,5.0
50,1000,50000,50000,887,6.0,5.0
100,1,100,100,7,7.0,6.0
100,5,500,500,20,7.0,6.0
100,10,1000,1000,41,7.0,6.0
100,20,2000,2000,79,7.0,6.0
100,50,5000,5000,180,7.0,6.0
100,100,10000,10000,258,7.0,6.0
100,1000,100000,100000,2218,7.0,6.0
1000,1,1000,1000,119,10.0,9.0
1000,5,5000,5000,498,10.0,9.0
1000,10,10000,10000,930,10.0,9.0
1000,20,20000,20000,1230,10.0,9.0
1000,50,50000,50000,2225,10.0,9.0
1000,100,100000,100000,4359,10.0,9.0
1000,1000,1000000,1000000,37718,10.0,9.0
5000,1,5000,5000,3353,13.0,12.0
5000,5,25000,25000,8206,13.0,12.0
5000,10,50000,50000,6207,13.0,12.0
5000,20,100000,100000,16700,13.0,12.0
5000,50,250000,250000,20248,13.0,12.0
5000,100,500000,500000,33515,13.0,12.0
5000,1000,,,,,
